,Gender,Balance,NumOfProducts,IsActiveMember,Geography_France,Geography_Germany,Geography_Spain,Age_bin,Exited
159,1,0.0,2,0.0,1,0,0,1,0
160,0,0.0,2,1.0,1,0,0,1,0
161,1,0.0,2,1.0,0,0,1,4,0
162,0,0.0,2,0.0,1,0,0,0,0
163,0,109949.05,1,1.0,0,0,1,0,0
164,0,0.0,2,1.0,1,0,0,0,0
165,1,0.0,1,0.0,1,0,0,3,0
166,0,0.0,1,1.0,1,0,0,0,0
167,0,0.0,2,0.0,1,0,0,0,0
168,1,0.0,2,1.0,1,0,0,1,0
169,0,0.0,2,0.0,0,0,1,2,0
170,0,124442.58,1,0.0,1,0,0,2,0
171,1,0.0,2,1.0,0,0,1,2,0
172,1,0.0,1,0.0,1,0,0,1,0
173,0,0.0,2,1.0,1,0,0,0,0
174,0,0.0,2,0.0,1,0,0,2,0
175,0,0.0,2,1.0,0,0,1,4,0
176,0,127545.07,1,0.0,1,0,0,0,0
177,1,135555.76,1,1.0,1,0,0,0,0
178,1,0.0,2,0.0,1,0,0,3,0
179,0,95507.12,1,0.0,0,1,0,0,0
180,0,103525.17,1,1.0,1,0,0,4,0
181,1,167738.82,2,1.0,0,1,0,2,0
182,0,0.0,2,0.0,1,0,0,0,0
183,0,0.0,1,0.0,0,0,1,2,0
184,0,87645.29,1,0.0,0,0,1,2,0
185,0,139659.04,1,1.0,0,1,0,3,0
186,1,0.0,2,1.0,1,0,0,0,0
187,0,131878.54,2,0.0,0,0,1,3,0
188,0,171178.25,1,1.0,1,0,0,3,0
189,0,0.0,1,1.0,0,0,1,1,0
190,0,0.0,2,0.0,1,0,0,1,0
191,1,0.0,2,0.0,0,0,1,1,0
192,0,124483.53,1,0.0,0,0,1,2,0
193,1,139861.58,1,1.0,1,0,0,4,0
194,1,0.0,2,1.0,1,0,0,2,0
195,1,0.0,1,1.0,1,0,0,1,0
196,1,0.0,2,0.0,1,0,0,2,0
197,1,132150.26,2,0.0,1,0,0,1,0
198,0,0.0,2,0.0,1,0,0,1,0
199,0,123877.22,1,0.0,0,0,1,1,0
200,1,0.0,2,1.0,0,0,1,1,0
201,0,0.0,2,0.0,0,0,1,2,0
202,0,0.0,2,1.0,1,0,0,3,0
203,1,0.0,2,1.0,1,0,0,2,0
204,0,0.0,2,1.0,1,0,0,3,0
205,1,0.0,2,1.0,1,0,0,3,0
206,1,137655.31,1,1.0,0,1,0,0,0
207,0,0.0,2,0.0,1,0,0,0,0
208,0,0.0,2,0.0,1,0,0,0,0
209,0,0.0,2,0.0,1,0,0,2,0
210,0,133676.65,1,1.0,1,0,0,2,0
211,0,0.0,2,1.0,0,0,1,3,0
212,1,110821.52,1,1.0,1,0,0,2,0
213,0,0.0,1,1.0,1,0,0,3,0
214,0,90963.49,2,1.0,0,1,0,3,0
215,1,0.0,1,1.0,1,0,0,0,0
216,0,0.0,2,1.0,1,0,0,4,0
217,0,0.0,1,1.0,1,0,0,1,0
218,1,114512.24,1,0.0,0,1,0,4,0
219,0,0.0,3,0.0,1,0,0,1,0
220,0,132227.09,1,1.0,1,0,0,1,0
221,0,0.0,2,0.0,1,0,0,1,0
222,0,133050.65,2,1.0,0,0,1,1,0
223,1,0.0,2,0.0,1,0,0,3,0
224,1,0.0,1,1.0,1,0,0,1,0
225,1,145081.74,2,0.0,0,1,0,3,0
226,0,121542.57,1,0.0,0,1,0,0,0
227,0,0.0,2,0.0,1,0,0,2,0
228,1,0.0,1,0.0,0,0,1,0,0
229,1,131063.38,1,1.0,1,0,0,1,0
230,0,0.0,2,1.0,1,0,0,3,0
231,0,0.0,2,1.0,0,0,1,0,0
232,1,132576.05,1,1.0,1,0,0,2,0
233,0,0.0,2,0.0,0,0,1,0,0
234,1,0.0,2,0.0,0,0,1,3,0
235,0,0.0,2,1.0,0,0,1,2,0
236,1,0.0,2,1.0,1,0,0,1,0
237,0,0.0,2,0.0,1,0,0,3,0
238,1,0.0,2,1.0,0,0,1,1,0
239,0,121980.56,2,1.0,1,0,0,0,0
240,0,0.0,2,1.0,1,0,0,1,0
241,1,168372.52,1,0.0,1,0,0,0,0
242,0,0.0,2,1.0,0,0,1,0,0
243,1,0.0,2,0.0,1,0,0,2,0
244,0,0.0,2,0.0,0,0,1,1,0
245,1,90350.77,1,1.0,0,0,1,3,0
246,0,99835.17,1,1.0,0,0,1,2,0
247,0,9053.36,1,1.0,1,0,0,2,0
248,0,83132.09,1,1.0,1,0,0,0,0
249,1,0.0,2,1.0,1,0,0,3,0
250,0,0.0,2,1.0,0,0,1,4,0
251,0,0.0,2,1.0,1,0,0,3,0
252,0,142576.64,1,0.0,1,0,0,2,0
253,1,123971.16,1,0.0,1,0,0,1,0
254,0,0.0,2,1.0,1,0,0,1,0
255,0,0.0,2,1.0,0,0,1,3,0
256,0,165901.59,2,0.0,1,0,0,4,0
257,1,108742.52,1,1.0,0,1,0,0,0
258,1,125167.84,1,0.0,1,0,0,2,0
259,0,169312.72,1,0.0,0,0,1,0,0
260,0,0.0,2,1.0,1,0,0,1,0
261,0,0.0,2,0.0,0,0,1,3,0
262,0,0.0,2,0.0,1,0,0,2,0
263,1,0.0,2,0.0,1,0,0,3,0
264,1,0.0,2,0.0,1,0,0,3,0
265,0,0.0,2,1.0,1,0,0,2,0
266,0,0.0,2,1.0,1,0,0,4,0
267,0,0.0,1,1.0,1,0,0,0,0
268,0,0.0,2,1.0,0,0,1,0,0
269,1,136980.07,2,1.0,1,0,0,1,0
270,1,141786.78,2,0.0,0,0,1,0,0
271,0,0.0,1,1.0,0,0,1,0,0
272,1,126645.13,2,1.0,0,1,0,4,0
273,1,123888.68,1,0.0,0,0,1,2,0
274,0,0.0,2,1.0,1,0,0,2,0
275,1,0.0,2,1.0,1,0,0,0,0
276,1,118022.06,2,1.0,1,0,0,4,0
277,1,0.0,2,1.0,0,0,1,1,0
278,0,0.0,2,0.0,1,0,0,2,0
279,0,105701.61,1,1.0,1,0,0,3,0
280,0,0.0,1,0.0,0,0,1,1,0
281,0,0.0,2,1.0,1,0,0,1,0
282,1,132253.22,1,0.0,0,1,0,1,0
283,0,113736.44,2,0.0,0,1,0,3,0
284,0,98723.67,1,1.0,0,1,0,3,0
285,1,143350.21,1,1.0,1,0,0,2,0
286,0,0.0,2,1.0,1,0,0,3,0
287,0,0.0,2,1.0,0,0,1,0,0
288,0,0.0,1,1.0,1,0,0,2,0
289,1,130931.83,2,0.0,0,0,1,2,0
290,1,0.0,2,0.0,0,0,1,0,0
291,1,0.0,2,1.0,1,0,0,1,0
292,0,122330.7,2,1.0,0,0,1,1,0
293,0,0.0,2,0.0,1,0,0,1,0
294,1,0.0,1,0.0,1,0,0,2,0
295,1,139290.41,1,0.0,1,0,0,3,0
296,0,0.0,2,0.0,1,0,0,0,0
297,0,106471.58,2,1.0,0,0,1,1,0
298,0,0.0,2,1.0,0,0,1,0,0
299,0,98877.95,1,0.0,1,0,0,3,0
300,1,92889.91,1,1.0,0,1,0,4,0
301,1,101238.35,2,1.0,0,1,0,1,0
302,0,0.0,2,1.0,1,0,0,2,0
303,0,0.0,2,1.0,0,0,1,1,0
304,1,0.0,2,1.0,1,0,0,1,0
305,1,0.0,2,0.0,0,0,1,0,0
306,0,113599.74,1,1.0,1,0,0,1,0
307,1,130806.99,1,0.0,1,0,0,2,0
308,0,0.0,2,1.0,1,0,0,3,0
309,0,0.0,2,0.0,0,0,1,2,0
310,0,0.0,2,0.0,1,0,0,0,0
311,0,120962.13,1,1.0,1,0,0,0,0
312,1,0.0,2,1.0,1,0,0,2,0
313,1,0.0,2,1.0,0,0,1,0,0
314,0,0.0,2,0.0,0,0,1,3,0
315,1,111833.47,1,1.0,0,0,1,1,0
316,1,128929.88,2,0.0,0,0,1,2,0
317,0,0.0,2,0.0,1,0,0,2,0
318,0,122568.05,1,1.0,0,1,0,4,0
319,0,0.0,2,0.0,1,0,0,0,0
320,0,80927.56,1,1.0,1,0,0,3,0
321,1,0.0,2,0.0,1,0,0,3,0
322,0,153325.1,1,1.0,0,1,0,4,0
323,0,44582.07,2,1.0,1,0,0,3,0
324,0,0.0,2,0.0,1,0,0,0,0
325,0,0.0,1,1.0,1,0,0,2,0
326,0,0.0,2,0.0,1,0,0,0,0
327,1,89175.06,1,1.0,0,1,0,3,0
328,0,0.0,2,0.0,1,0,0,3,0
329,1,118907.6,1,0.0,0,1,0,1,0
330,1,0.0,2,0.0,1,0,0,0,0
331,0,127201.58,1,0.0,0,1,0,2,0
332,1,112262.84,1,1.0,0,0,1,2,0
333,0,0.0,2,1.0,1,0,0,1,0
334,0,103371.38,1,1.0,1,0,0,1,0
335,1,134208.22,1,1.0,0,0,1,2,0
336,0,151855.76,1,1.0,1,0,0,4,0
337,0,0.0,1,0.0,1,0,0,3,0
338,0,0.0,2,1.0,1,0,0,4,0
339,1,126547.8,1,1.0,1,0,0,4,0
340,0,106397.75,1,1.0,1,0,0,0,0
341,0,86569.76,1,0.0,1,0,0,3,0
342,0,0.0,2,1.0,1,0,0,2,0
343,0,0.0,2,0.0,0,0,1,1,0
344,1,0.0,2,0.0,1,0,0,1,0
345,0,117559.05,1,0.0,1,0,0,1,0
346,0,107571.61,1,0.0,1,0,0,0,0
347,0,0.0,2,0.0,1,0,0,2,0
348,1,0.0,2,1.0,0,0,1,2,0
349,0,0.0,2,1.0,0,0,1,1,0
350,0,140733.74,1,1.0,0,1,0,0,0
351,0,123082.09,1,0.0,0,1,0,0,0
352,1,98955.87,2,0.0,0,1,0,2,0
353,1,124513.08,1,1.0,1,0,0,1,0
354,0,161766.81,2,0.0,0,1,0,2,0
355,1,0.0,2,1.0,0,0,1,0,0
356,0,115409.18,2,1.0,0,1,0,2,0
357,1,0.0,2,0.0,1,0,0,1,0
358,0,0.0,2,1.0,1,0,0,1,0
359,1,0.0,2,1.0,0,0,1,3,0
360,1,112668.7,1,0.0,1,0,0,0,0
361,1,168165.84,1,1.0,1,0,0,3,0
362,0,95668.88,1,1.0,1,0,0,1,0
363,1,125731.82,1,1.0,0,0,1,2,0
364,0,0.0,2,0.0,0,0,1,0,0
365,1,0.0,2,1.0,1,0,0,4,0
366,0,0.0,2,1.0,0,0,1,0,0
367,0,0.0,2,0.0,1,0,0,2,0
368,0,0.0,1,1.0,1,0,0,4,0
369,1,0.0,2,1.0,1,0,0,3,0
370,1,0.0,2,1.0,0,0,1,0,0
371,0,100486.18,1,0.0,1,0,0,0,0
372,1,97594.07,1,1.0,0,1,0,2,0
373,1,0.0,1,1.0,1,0,0,1,0
374,1,0.0,1,0.0,1,0,0,1,0
375,0,152322.66,2,0.0,1,0,0,0,0
376,1,132934.89,2,0.0,0,1,0,1,0
377,0,0.0,2,1.0,1,0,0,0,0
378,0,0.0,2,1.0,1,0,0,2,0
379,0,145081.73,1,0.0,1,0,0,0,0
380,0,0.0,2,0.0,1,0,0,0,0
381,0,127864.81,1,1.0,0,1,0,0,0
382,1,0.0,2,1.0,1,0,0,4,0
383,1,114722.65,2,0.0,0,1,0,0,0
384,1,0.0,2,1.0,1,0,0,1,0
385,0,0.0,2,1.0,1,0,0,1,0
386,0,0.0,2,1.0,1,0,0,2,0
387,0,131283.78,1,0.0,1,0,0,2,0
388,1,82373.94,2,1.0,1,0,0,4,0
389,1,126645.13,1,1.0,1,0,0,2,0
390,0,85845.43,1,1.0,1,0,0,3,0
391,1,0.0,2,1.0,1,0,0,0,0
392,0,110976.23,1,1.0,1,0,0,1,0
393,0,0.0,2,0.0,1,0,0,2,0
394,0,0.0,2,0.0,1,0,0,1,0
395,1,0.0,2,0.0,1,0,0,0,0
396,0,156843.89,1,0.0,0,1,0,1,0
397,0,0.0,2,0.0,1,0,0,3,0
398,0,0.0,2,1.0,1,0,0,0,0
399,1,76656.4,1,1.0,1,0,0,1,0
400,1,119799.27,2,0.0,0,0,1,4,0
401,1,140137.15,1,0.0,0,0,1,4,0
402,0,0.0,2,1.0,1,0,0,3,0
403,1,0.0,2,1.0,1,0,0,3,0
404,1,0.0,2,1.0,1,0,0,2,0
405,0,122314.5,1,0.0,1,0,0,4,0
406,1,121405.04,1,0.0,1,0,0,3,0
407,0,0.0,2,1.0,1,0,0,0,0
408,0,0.0,2,1.0,1,0,0,4,0
409,0,0.0,2,0.0,1,0,0,3,0
410,0,122314.5,1,0.0,0,1,0,1,0
411,0,0.0,2,0.0,1,0,0,2,0
412,1,118889.66,2,1.0,1,0,0,1,0
413,1,146466.46,1,1.0,0,0,1,3,0
414,0,0.0,1,1.0,1,0,0,0,0
415,0,125389.81,1,1.0,1,0,0,3,0
416,1,122578.51,2,0.0,1,0,0,1,0
417,1,121927.92,1,1.0,0,1,0,0,0
418,1,0.0,2,0.0,0,0,1,0,0
419,1,0.0,1,1.0,0,0,1,3,0
420,1,0.0,2,1.0,1,0,0,2,0
421,0,0.0,2,0.0,0,0,1,3,0
422,0,137458.01,1,1.0,1,0,0,0,0
423,1,0.0,1,1.0,1,0,0,4,0
424,0,0.0,2,0.0,0,0,1,4,0
425,0,137558.18,2,1.0,0,1,0,3,0
426,1,0.0,2,1.0,0,0,1,2,0
427,0,133702.89,2,1.0,0,1,0,1,0
428,0,0.0,1,1.0,1,0,0,2,0
429,0,0.0,2,1.0,1,0,0,0,0
430,0,0.0,2,1.0,1,0,0,4,0
431,0,124547.13,2,1.0,1,0,0,4,0
432,0,0.0,2,1.0,1,0,0,1,0
433,0,142287.94,1,0.0,1,0,0,1,0
434,1,0.0,2,0.0,1,0,0,2,0
435,1,0.0,2,1.0,1,0,0,2,0
436,1,0.0,2,0.0,0,0,1,2,0
437,0,105387.89,1,1.0,1,0,0,1,0
438,0,0.0,2,1.0,1,0,0,1,0
439,0,0.0,2,0.0,1,0,0,1,0
440,0,0.0,2,1.0,1,0,0,4,0
441,1,0.0,2,0.0,1,0,0,2,0
442,0,130806.99,1,1.0,1,0,0,3,0
443,1,145988.11,1,1.0,1,0,0,1,0
444,1,137553.29,2,0.0,0,1,0,0,0
445,1,82500.28,1,0.0,1,0,0,2,0
446,0,0.0,2,1.0,1,0,0,1,0
447,0,0.0,2,0.0,1,0,0,1,0
448,0,0.0,2,1.0,1,0,0,1,0
449,1,0.0,2,1.0,1,0,0,0,0
450,1,0.0,2,0.0,1,0,0,1,0
451,1,83616.93,2,1.0,1,0,0,4,0
452,1,148143.84,1,0.0,1,0,0,1,0
453,1,165438.26,2,1.0,1,0,0,0,0
454,0,151482.53,1,1.0,1,0,0,4,0
455,1,0.0,2,0.0,1,0,0,0,0
456,0,0.0,2,0.0,1,0,0,4,0
457,0,0.0,2,0.0,1,0,0,0,0
458,0,0.0,2,0.0,1,0,0,2,0
459,1,0.0,2,0.0,1,0,0,3,0
460,1,0.0,1,0.0,1,0,0,2,0
461,0,0.0,2,1.0,1,0,0,4,0
462,1,0.0,2,1.0,1,0,0,2,0
463,0,123322.15,1,0.0,1,0,0,2,0
464,0,94231.13,1,1.0,0,1,0,4,0
465,1,0.0,2,1.0,1,0,0,2,0
466,0,0.0,1,0.0,1,0,0,1,0
467,1,0.0,2,1.0,1,0,0,3,0
468,1,116471.43,1,1.0,0,0,1,1,0
469,1,135277.96,1,0.0,0,1,0,2,0
470,1,0.0,2,0.0,1,0,0,2,0
471,1,116227.55,1,1.0,1,0,0,1,0
472,0,0.0,1,0.0,1,0,0,0,0
473,0,109632.85,1,0.0,0,0,1,2,0
474,0,123737.95,2,1.0,0,1,0,2,0
475,0,0.0,2,0.0,1,0,0,2,0
476,0,0.0,2,0.0,1,0,0,4,0
477,0,0.0,1,0.0,1,0,0,2,0
478,1,108269.87,2,1.0,0,1,0,1,0
479,0,0.0,2,1.0,1,0,0,1,0
480,1,0.0,2,1.0,0,0,1,0,0
481,1,0.0,2,0.0,1,0,0,1,0
482,1,0.0,2,1.0,0,0,1,0,0
483,1,0.0,2,0.0,1,0,0,2,0
484,0,0.0,2,0.0,0,0,1,2,0
485,0,0.0,2,0.0,1,0,0,2,0
486,0,117726.55,1,1.0,1,0,0,2,0
487,0,111835.94,1,0.0,0,0,1,1,0
488,1,0.0,2,1.0,1,0,0,3,0
489,0,0.0,2,0.0,1,0,0,1,0
490,0,123783.25,1,1.0,0,1,0,1,0
491,0,100443.36,1,1.0,1,0,0,3,0
492,1,0.0,2,1.0,1,0,0,1,0
493,0,121092.47,2,1.0,1,0,0,2,0
494,0,0.0,2,1.0,0,0,1,1,0
495,0,0.0,2,0.0,0,0,1,3,0
496,0,0.0,2,1.0,1,0,0,1,0
497,0,0.0,1,0.0,1,0,0,0,0
498,0,0.0,2,0.0,0,0,1,2,0
499,0,123971.16,1,0.0,0,0,1,3,0
500,0,128707.3,1,1.0,0,0,1,0,0
501,0,0.0,2,1.0,0,0,1,4,0
502,0,0.0,2,1.0,1,0,0,3,0
503,1,96131.27,1,1.0,1,0,0,2,0
504,1,0.0,2,1.0,1,0,0,1,0
505,1,0.0,2,0.0,1,0,0,2,0
506,1,0.0,1,0.0,0,0,1,1,0
507,1,0.0,2,1.0,1,0,0,1,0
508,1,136816.8,1,1.0,1,0,0,2,0
509,1,133800.98,1,0.0,1,0,0,1,0
510,0,0.0,2,0.0,1,0,0,1,0
511,1,0.0,1,0.0,0,0,1,2,0
512,0,0.0,2,1.0,1,0,0,2,0
513,1,120170.93,1,1.0,1,0,0,1,0
514,0,122550.05,2,1.0,0,1,0,3,0
515,0,0.0,2,0.0,1,0,0,1,0
516,1,93978.96,2,0.0,0,1,0,3,0
517,0,114512.59,1,1.0,0,0,1,0,0
518,0,118890.81,2,0.0,0,1,0,1,0
519,1,110046.93,2,1.0,0,1,0,1,0
520,0,0.0,2,1.0,1,0,0,1,0
521,1,116967.68,2,0.0,0,1,0,0,0
522,0,117035.89,1,1.0,1,0,0,4,0
523,1,0.0,2,1.0,0,0,1,4,0
524,0,167545.32,1,1.0,0,0,1,2,0
525,0,153598.54,1,0.0,0,1,0,1,0
526,1,0.0,2,1.0,1,0,0,2,0
527,0,84491.19,1,1.0,1,0,0,1,0
528,1,90865.8,1,1.0,1,0,0,2,0
529,1,127095.14,2,0.0,0,0,1,1,0
530,0,0.0,2,0.0,1,0,0,2,0
531,0,0.0,1,0.0,1,0,0,2,0
532,0,118833.22,1,1.0,1,0,0,0,0
533,0,0.0,2,1.0,1,0,0,3,0
534,0,139432.88,1,1.0,1,0,0,1,0
535,0,99786.07,1,1.0,0,0,1,4,0
536,0,126683.8,1,1.0,0,0,1,3,0
537,0,0.0,2,0.0,1,0,0,2,0
538,0,161546.68,2,1.0,1,0,0,3,0
539,0,0.0,2,1.0,1,0,0,2,0
540,0,106036.52,1,0.0,1,0,0,3,0
541,0,0.0,2,1.0,1,0,0,0,0
542,0,0.0,2,1.0,1,0,0,3,0
543,1,0.0,2,1.0,0,0,1,1,0
544,1,0.0,2,1.0,0,0,1,2,0
545,0,0.0,2,0.0,0,0,1,0,0
546,0,0.0,2,1.0,1,0,0,1,0
547,0,148363.38,2,0.0,1,0,0,4,0
548,0,0.0,2,0.0,1,0,0,0,0
549,0,0.0,2,0.0,1,0,0,1,0
550,0,171770.23,2,1.0,0,1,0,1,0
551,0,142724.48,1,1.0,0,1,0,4,0
552,1,0.0,2,1.0,1,0,0,1,0
553,0,115062.61,1,0.0,1,0,0,0,0
554,0,79851.84,2,1.0,0,1,0,1,0
555,0,0.0,2,1.0,0,0,1,1,0
556,0,0.0,2,1.0,1,0,0,1,0
557,0,74135.85,1,1.0,1,0,0,3,0
558,0,89118.26,1,1.0,0,0,1,3,0
559,0,0.0,2,0.0,1,0,0,2,0
560,1,108197.12,1,0.0,1,0,0,3,0
561,1,62482.97,1,1.0,1,0,0,1,0
562,1,99620.5,1,1.0,1,0,0,2,0
563,0,56580.81,1,1.0,0,0,1,1,0
564,0,139432.37,1,0.0,0,1,0,1,0
565,0,0.0,2,0.0,1,0,0,1,0
566,0,0.0,2,0.0,1,0,0,0,0
567,0,0.0,2,1.0,1,0,0,1,0
